Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-10-31,22:14:32,47,46,45,45,45,46,46,46,46,46,47,534017,551865,553448,486829,618593,506.24,554447,1213918,774919,605937,599681
2024-10-31,22:14:35,48,46,46,46,46,47,47,46,46,46,46,531.81,647.02,569167,550267,529175,515706,841041,658995,600897,705937,582558
2024-10-31,22:14:37,48,44,44,44,44,46,46,46,46,46,47,782763,442714,625397,920757,836135,660475,1121855,755738,580174,568.84,500163
2024-10-31,22:14:39,48,44,44,44,45,47,47,47,47,46,45,712671,800801,543702,483915,510329,489479,709174,626094,565198,693.08,894192
2024-10-31,22:14:41,47,44,44,44,44,46,46,46,46,46,47,712908,1605709,1491448,1169022,742767,640705,719932,835.8,862713,786166,919099
2024-10-31,22:14:44,48,45,45,45,46,47,47,46,46,46,45,766942,862333,626923,520074,750467,710074,456066,901638,547171,1165291,678918
2024-10-31,22:14:46,48,46,46,46,46,47,47,47,46,47,46,775933,838048,760707,563838,732227,565166,601.14,657991,701506,498664,635997
2024-10-31,22:14:48,47,46,46,46,46,46,46,46,47,46,45,742.53,454425,564174,857761,732832,628469,1059897,1610282,676.52,535383,536722
2024-10-31,22:14:50,48,46,46,46,47,45,45,45,46,44,46,521361,461065,529655,590012,557585,667032,982961,848393,695653,767.07,467598
2024-10-31,22:14:53,47,44,45,45,44,46,46,46,46,46,45,552031,546.35,582024,704826,838823,676314,904001,691291,547816,540.78,771334
2024-10-31,22:14:55,47,45,45,45,46,46,46,45,45,46,45,568029,654323,481043,474303,585893,549.67,524147,528595,568951,858197,527479
2024-10-31,22:14:57,47,45,45,44,44,45,46,46,46,45,46,583163,686317,617412,430709,674276,546.3,491655,776903,554863,511172,553266
2024-10-31,22:15:00,47,46,46,46,46,45,45,45,45,46,45,672.43,802727,632778,463804,724.96,730339,805681,555382,901.08,543.4,473144
2024-10-31,22:15:02,47,46,45,45,45,45,45,45,45,44,46,830.68,807326,523749,489399,497.98,477528,696663,626.94,559688,482079,688164
2024-10-31,22:15:04,47,45,45,44,44,46,46,46,46,44,45,666606,890381,619434,400389,426175,674905,748547,639476,589193,506137,480457
2024-10-31,22:15:06,48,44,44,44,44,46,46,46,46,44,45,561708,471886,652165,933068,570264,611118,649733,549855,633361,526339,659881
2024-10-31,22:15:09,47,46,45,45,45,45,45,45,46,44,45,445374,468862,629653,775942,610025,524.19,704164,426559,586.17,727.12,535.87
2024-10-31,22:15:11,47,46,46,46,46,46,46,46,46,46,45,640018,639863,608318,766943,571886,663564,578762,516895,563012,580553,751083
2024-10-31,22:15:13,47,46,45,45,45,47,47,47,46,44,46,641.14,617705,625426,505603,534941,663115,560444,503606,999488,1784463,1232182
2024-10-31,22:15:15,47,44,44,44,44,45,45,45,45,44,46,666208,495894,621878,823254,673213,516147,491.14,471803,568987,529591,727.25
2024-10-31,22:15:18,46,46,46,46,46,45,45,45,45,44,46,596695,684874,634987,892095,924297,548592,692829,883098,622175,632768,523505
2024-10-31,22:15:20,47,46,44,44,44,46,45,45,45,46,45,696199,845667,687202,471264,496545,666.1,589083,795226,519074,545327,519108
2024-10-31,22:15:22,47,44,44,44,44,45,45,45,45,46,46,626396,590552,554209,638762,582393,571224,593423,531084,399932,744957,647746
2024-10-31,22:15:24,47,44,44,44,44,46,46,46,46,44,45,612136,682238,543427,460628,725914,545523,498256,526467,597164,600332,902086
2024-10-31,22:15:27,48,44,46,46,46,45,45,45,46,46,45,468469,990.87,763426,546504,662371,650.77,585991,712055,603623,443621,473483
2024-10-31,22:15:29,47,46,46,46,46,46,46,46,46,46,48,1563509,968723,2223557,2867959,1906408,2170792,1937277,787.18,699338,594761,656818
2024-10-31,22:15:31,47,47,47,46,46,46,46,46,46,47,47,1172103,1181623,879548,804.93,811544,865326,906549,776071,549129,661582,819764
2024-10-31,22:15:33,52,50,49,49,49,50,51,51,51,50,52,907635,679419,661805,584942,650018,649198,598441,586756,511.3,589413,716795
2024-11-01,10:02:38,49,47,47,47,47,48,48,48,48,48,47,758169,545745,456196,463012,653586,572055,602382,1094267,661642,741123,507022
2024-11-01,10:02:40,49,47,47,47,47,48,48,47,47,47,47,634876,816792,550321,655272,661404,581.09,639.26,873646,554316,643531,473931
2024-11-01,10:02:42,48,48,48,48,48,48,48,48,48,48,47,594005,589356,836899,834.29,833135,735.13,617.41,604419,507829,793258,634082
